HTS_Code,Description,List
2845.90.00,Isotopes not in heading 2844 and their compounds other than heavy water,1
4011.30.00,"New pneumatic tires, of rubber, of a kind used on aircraft",1
4012.13.00,"Retreaded pneumatic tires, of rubber, of a kind used on aircraft",1
8401.10.00,Nuclear reactors,1
8401.20.00,"Machinery and apparatus for isotopic separation, and parts thereof",1
8401.30.00,"Fuel elements (cartridges), non-irradiated and parts thereof",1
8401.40.00,Parts of nuclear reactors,1
8402.11.00,Watertube boilers with a steam production exceeding 45 tons per hour,1
8402.12.00,Watertube boilers with a steam production not exceeding 45 tons per hour,1
8402.19.00,"Vapor-generating boilers, including hybrid boilers, other than watertube boilers",1
8402.20.00,Super-heated water boilers,1
8402.90.00,Parts of steam- or other vapor-generating boilers,1
8404.20.00,Condensers for steam or other vapor power units,1
8404.90.00,Parts for auxiliary plant for use with boilers of heading 8402 and 8403 and condensers for steam or vapor power units,1
8405.10.00,"Producer gas or water gas generators, acetylene gas generators and similar water process gas generators; with or without their purifiers",1
8405.90.00,Parts for gas generators of subheading 8405.10,1
8406.10.10,Steam turbines for marine propulsion,1
8406.10.90,Vapor turbines (other than steam) for marine propulsion,1
8406.81.90,"Vapor turbines (excluding steam turbines) other than for marine propulsion, of an output exceeding 40 MW",1
8406.82.90,"Vapor turbines (excluding steam turbines) other than for marine propulsion, of an output not exceeding 40 MW",1
8407.10.00,Spark-ignition reciprocating or rotary internal combustion piston engines for use in aircraft,1
8407.21.00,Marine propulsion spark-ignition reciprocating or rotary internal-combustion piston engines for outboard motors,1
8407.29.00,"Marine propulsion spark-ignition reciprocating or rotary internal-combustion piston engines, nesoi",1
8408.10.00,Marine propulsion compression-ignition internal-combustion piston engines,1
8408.90.10,"Compression-ignition internal-combustion piston engines, to be installed in agricultural or horticultural machinery or equipment, nesoi",1
8408.90.90,"Compression-ignition internal-combustion piston engines, for machinery or equipment, nesoi",1
8409.10.00,Parts for internal combustion aircraft engines,1
8410.11.00,"Hydraulic turbines and water wheels of a power not exceeding 1,000 kW",1
8410.12.00,"Hydraulic turbines and water wheels of a power exceeding 1,000 kW but not exceeding 10,000 kW",1
8410.13.00,"Hydraulic turbines and water wheels of a power exceeding 10,000 kW",1
8410.90.00,"Parts, including regulators, of hydraulic turbines and water wheels HTSUS Product Description Subheading",1
8411.11.40,Aircraft turbojets of a thrust not exceeding 25 kN,1
8411.11.80,"Turbojets of a thrust not exceeding 25 kN, other than aircraft",1
8411.12.40,Aircraft turbojets of a thrust exceeding 25 kN,1
8411.12.80,"Turbojets of a thrust exceeding 25 kN, other than aircraft",1
8411.21.40,"Aircraft turbopropellers of a power not exceeding 1,100 kW",1
8411.21.80,"Turbopropellers of a power not exceeding 1,100 kW, other than aircraft",1
8411.22.40,"Aircraft turbopropellers of a power exceeding 1,100 kW",1
8411.22.80,"Turbopropellers of a power exceeding 1,100 kW, other than aircraft",1
8411.81.40,"Aircraft gas turbines other than turbojets or turbopropellers, of a power not exceeding 5,000 kW",1
8411.81.80,"Gas turbines other than turbojets or turbopropellers, of a power not exceeding 5,000 kW, other than aircraft",1
8411.82.40,"Aircraft gas turbines other than turbojets or turbopropellers, of a power exceeding 5,000 kW",1
8411.82.80,"Gas turbines, other than turbojets or turbopropellers of a power exceeding 5,000 kW, other than aircraft",1
8411.91.10,"Cast-iron parts of turbojets or turbopropellers machined only for removal of fins, gates, etc. or to permit location in machinery",1
8411.91.90,Parts of turbojets or turbopropellers other than those of subheading,1
8411.91.10,"8411.99.10 Cast-iron parts of gas turbines nesoi, not advanced beyond cleaning, and machined for removal of fins, gates, sprues and risers",1
8411.99.90,"Parts of gas turbines nesoi, other than those of subheading",1
8411.99.10,8412.10.00 Reaction engines other than turbojets,1
8412.21.00,"Hydraulic power engines and motors, linear acting (cylinders)",1
8412.29.40,Hydrojet engines for marine propulsion,1
8412.29.80,"Hydraulic power engines and motors, nesoi",1
8412.31.00,"Pneumatic power engines and motors, linear acting (cylinders)",1
8412.39.00,"Pneumatic power engines and motors, other than linear acting",1
8412.80.10,Spring-operated and weight-operated motors,1
8412.80.90,"Engines and motors, nesoi (excluding motors of heading 8501)",1
8412.90.10,Parts of hydrojet engines for marine propulsion,1
8413.19.00,"Pumps for liquids fitted or designed to be fitted with a measuring device, nesoi",1
8413.40.00,"Concrete pumps for liquids, not fitted with a measuring device",1
8413.50.00,"Reciprocating positive displacement pumps for liquids, not fitted with a measuring device, nesoi",1
8413.60.00,"Rotary positive displacement pumps for liquids, not fitted with a measuring device, nesoi",1
8413.70.10,"Stock pumps imported for use with machines for making cellulosic pulp, paper or paperboard, not fitted with a measuring device",1
8413.70.20,"Centrifugal pumps for liquids, not fitted with a measuring device, nesoi",1
8413.81.00,"Pumps for liquids, not fitted with a measuring device, nesoi",1
8413.82.00,Liquid elevators,1
8413.91.10,Parts of fuel-injection pumps for compression-ignition engines HTSUS Product Description Subheading,1
8413.91.20,"Parts of stock pumps imported for use with machines for making cellulosic pulp, paper or paperboard",1
8413.91.90,"Parts of pumps, nesoi",1
8414.30.40,Compressors of a kind used in refrigerating equipment (including air conditioning) not exceeding 1/4 horsepower,1
8414.30.80,Compressors of a kind used in refrigerating equipment (incl. air conditioning) exceeding 1/4 horsepower,1
8414.59.30,Turbocharger and supercharger fans,1
8414.80.05,Turbocharger and supercharger air compressors,1
8414.80.20,"Gas compressors, nesoi",1
8414.90.30,Stators and rotors of goods of subheading 8414.30,1
8414.90.41,"Parts of air or gas compressors, nesoi",1
8414.90.90,Parts of air or vacuum pumps and ventilating or recycling hoods,1
8416.90.00,"Parts for furnace burners, mechanical stokers, mechanical grates, mechanical ash dischargers and similar appliances",1
8417.10.00,"Furnaces and ovens for the roasting, melting or other heat treatment of ores, pyrites or of metals",1
8417.80.00,"Industrial or laboratory furnaces and ovens nesoi, including incinerators, nonelectric",1
8417.90.00,"Parts for industrial or laboratory furnaces and ovens, including incinerators, nonelectric",1
8418.69.01,Refrigerating or freezing equipment nesoi,1
8419.11.00,"Instantaneous gas water heaters, nonelectric",1
8419.19.00,"Storage water heaters, nonelectric",1
8419.31.00,"Dryers for agricultural products, not used for domestic purposes",1
8419.32.10,Dryers for wood,1
8419.32.50,"Dryers for paper pulp, paper or paperboard",1
8419.39.01,"Dryers, other than of a kind for domestic purposes, nesoi",1
8419.40.00,"Distilling or rectifying plant, not used for domestic purposes",1
8419.50.10,Brazed aluminum plate-fin heat exchangers,1
8419.50.50,"Heat exchange units, nesoi",1
8419.60.50,"Machinery for liquefying air or gas, nesoi",1
8419.89.60,"Industrial machinery, plant or equip. for the treat. of mat., involving a change in temp., for molten-salt-cooled acrylic acid reactors",1
8419.90.10,Parts of instantaneous or storage water heaters,1
8419.90.20,"Parts of machinery and plant, for making paper pulp, paper or paperboard",1
8419.90.30,Parts of heat exchange units,1
8419.90.50,"Parts of molten-salt-cooled acrylic acid reactors, nesoi; parts of certain medical, surgical or laboratory sterilizers, nesoi",1
8419.90.85,"Parts of electromechanical tools for work in the hand, w/self-contained electric motor, for treatment of materials by change in temperature",1
8419.90.95,"Parts of machinery, plant or laboratory equipment for the treatment of materials by a process involving a change of temperature, nesoi HTSUS Product Description Subheading",1
8420.10.90,"Calendering or other rolling machines, other than for metals or glass, nesoi",1
8420.91.10,Cylinders for textile calendering or rolling machines,1
8420.91.20,"Cylinders for paper pulp, paper or paperboard calendering or rolling machines",1
8420.91.90,"Cylinders for calendering and similar rolling machines, nesoi",1
8420.99.20,"Parts of calendering or rolling machines for making paper pulp, paper or paperboard",1
8420.99.90,"Parts of calendering or other rolling machines, other than for metals or glass, nesoi",1
8421.19.00,"Centrifuges, other than cream separators or clothes dryers",1
8421.21.00,Machinery and apparatus for filtering or purifying water,1
8421.22.00,Machinery and apparatus for filtering or purifying beverages other than water,1
8421.29.00,"Filtering or purifying machinery and apparatus for liquids, nesoi",1
8421.39.40,Catalytic converters,1
8421.39.80,"Filtering or purifying machinery and apparatus for gases, other than intake air filters for internal combustion engines or catalytic conv.",1
8421.91.60,"Parts of centrifuges, including centrifugal dryers, nesoi",1
8421.99.00,Parts for filtering or purifying machinery or apparatus for liquids or gases,1
8422.19.00,Dishwashing machines other than of the household type,1
8422.20.00,Machinery for cleaning or drying bottles or other containers,1
8422.30.11,Can-sealing machines,1
8422.30.91,"Machinery for filling, closing, sealing, capsuling or labeling bottles, cans, boxes or other containers; machinery for aerating beverages; nesoi",1
8422.40.11,"Machinery for packing or wrapping pipe tobacco, candy and cigarette packages; combination candy cutting and wrapping machines",1
8422.40.91,"Packing or wrapping machinery, nesoi",1
8422.90.06,"Parts of dishwashing machines, nesoi",1
8422.90.91,"Parts of packing or wrapping machinery, nesoi",1
8423.20.10,Scales for continuous weighing of goods on conveyors using electronic means for gauging weights,1
8423.20.90,Other scales for continuous weighing of goods on conveyors,1
8423.30.00,"Constant weight scales and scales for discharging a predetermined weight of material into a bag or container, including hopper scales",1
8423.82.00,"Weighing machinery having a maximum weighing capacity exceeding 30 kg but not exceeding 5,000 kg",1
8423.89.10,"Weighing machinery with maximum capacity exceeding 5,000 kg, using electronic means for gauging",1
8423.89.90,"Weighing machinery with maximum capacity exceeding 5,000 kg, not using electronic means for gauging nesoi",1
8423.90.10,"Parts of weighing machinery using electronic means for gauging, except parts for weighing motor vehicles",1
8423.90.90,"Other parts of weighing machinery, including weights",1
8424.89.10,"Mechanical appliances for projecting, dispersing or spraying liquids or powders, used for making printed circuits or printed circuit assemblies",1
8424.90.20,Parts of sand blasting machines HTSUS Product Description Subheading,1
8425.11.00,"Pulley tackle and hoists other than skip hoists or hoists used for raising vehicles, powered by electric motor",1
8425.39.01,"Winches nesoi, and capstans, not powered by electric motor",1
8426.41.00,"Derricks, cranes and other lifting machinery nesoi, self-propelled, on tires",1
8426.49.00,"Derricks, cranes and other lifting machinery nesoi, self-propelled, not on tires",1
8426.99.00,"Derricks, cranes and other lifting machinery nesoi",1
8427.10.40,"Self-propelled works trucks powered by an electric motor, rider type forklift trucks",1
8427.10.80,"Self-propelled works trucks powered by an electric motor, fitted with lifting and handling equipment, nesoi",1
8427.20.40,"Self-propelled works trucks not powered by an electric motor, rider type forklift trucks",1
8427.20.80,"Self-propelled works trucks not powered by an electric motor, fitted with lifting and handling equipment, nesoi",1
8428.20.00,Pneumatic elevators and conveyors,1
8428.31.00,"Continuous-action elevators and conveyors, for goods or materials, specially designed for underground use",1
8428.32.00,"Bucket type continuous-action elevators and conveyors, for goods or materials",1
8428.33.00,"Belt type continuous-action elevators and conveyors, for goods or materials",1
8428.39.00,"Continuous-action elevators and conveyors, for goods or materials, nesoi",1
8428.90.02,"Machinery for lifting, handling, loading or unloading, nesoi",1
8429.11.00,"Self-propelled bulldozers and angledozers, for track laying",1
8429.19.00,Self-propelled bulldozers and angledozers other than track laying,1
8429.20.00,Self-propelled graders and levelers,1
8429.30.00,Self-propelled scrapers,1
8429.40.00,Self-propelled tamping machines and road rollers,1
8429.51.10,"Self-propelled front-end shovel loaders, wheel-type",1
8429.51.50,"Self-propelled front-end shovel loaders, other than wheel-type",1
8429.52.10,"Self-propelled backhoes, shovels, clamshells and draglines with a 360 degree revolving superstructure",1
8429.52.50,"Self-propelled machinery with a 360 degree revolving superstructure, other than backhoes, shovels, clamshells and draglines",1
8429.59.10,"Self-propelled backhoes, shovels, clamshells and draglines not with a 360 degree revolving superstructure",1
8429.59.50,"Self-propelled machinery not with a 360 degree revolving superstructure, other than backhoes, shovels, clamshells and draglines",1
8430.10.00,Pile-drivers and pile-extractors,1
8430.31.00,Self-propelled coal or rock cutters and tunneling machinery,1
8430.39.00,"Coal or rock cutters and tunneling machinery, not self-propelled",1
8430.41.00,Self-propelled boring or sinking machinery,1
8430.49.80,"Boring or sinking machinery, not self-propelled, nesoi",1
8430.50.50,"Self-propelled machinery for working earth, minerals or ores, nesoi",1
8430.61.00,"Tamping or compacting machinery, not self-propelled",1
8430.69.01,"Machinery for working earth, minerals or ores, not self-propelled, nesoi",1
8431.10.00,Parts suitable for use solely or principally with the machinery of heading 8425 HTSUS Product Description Subheading,1
8431.20.00,Parts suitable for use solely or principally with the machinery of heading 8427,1
8431.31.00,"Parts suitable for use solely or principally with passenger or freight elevators other than continuous action, skip hoists or escalators",1
8431.39.00,"Parts suitable for use solely or principally with the machinery of heading 8428, nesoi",1
8431.41.00,"Buckets, shovels, grabs and grips suitable for use solely or principally with the machinery of headings 8426, 8429, or 8430",1
8431.42.00,"Bulldozer or angledozer blades suitable for use solely or principally with the machinery of heading 8426, 8429 or 8430",1
8431.43.40,"Parts for offshore oil & natural gas, drilling and production platforms",1
8431.43.80,"Parts for boring or sinking machinery of 8430.41 or 8430.49, nesoi",1
8431.49.10,"Parts suitable for use solely or principally with the machinery of heading 8426, nesoi",1
8431.49.90,"Parts suitable for use solely or principally with the machinery of heading 8429 or 8430, nesoi",1
8432.10.00,Plows for soil preparation or cultivation,1
8432.21.00,Disc harrows for soil preparation or cultivation,1
8432.80.00,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation, nesoi; lawn or sports ground rollers",1
8432.90.00,"Parts of agricultural, horticultural or forestry machinery for soil preparation or cultivation; parts of lawn or sports ground rollers",1
8433.20.00,"Mowers nesoi, including cutter bars for tractor mounting",1
8433.30.00,Haymaking machinery other than mowers,1
8433.40.00,"Straw or fodder balers, including pick-up balers",1
8433.51.00,Combine harvester-threshers,1
8433.52.00,Threshing machinery other than combine harvester-threshers,1
8433.53.00,Root or tuber harvesting machines,1
8433.59.00,"Harvesting machinery or threshing machinery, nesoi",1
8433.60.00,"Machines for cleaning, sorting or grading eggs, fruit or other agricultural produce",1
8433.90.50,"Parts for machinery of heading 8433, nesoi",1
8434.20.00,Dairy machinery other than milking machines,1
8434.90.00,Parts for milking machines and dairy machinery,1
8436.10.00,Machinery for preparing animal feeds,1
8436.21.00,Poultry incubators and brooders,1
8436.29.00,Poultry-keeping machinery,1
8436.80.00,"Agricultural, horticultural, forestry or bee-keeping machinery, nesoi",1
8436.91.00,Parts of poultry-keeping machinery or poultry incubators and brooders,1
8436.99.00,"Parts for agricultural, horticultural, forestry or bee-keeping machinery, nesoi",1
8437.10.00,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables",1
8437.80.00,"Machinery used in the milling industry or for the working of cereals or dried leguminous vegetables, other than farm type machinery",1
8437.90.00,"Parts for machinery used in the milling industry or for cleaning, sorting, grading or working of cereals or dried leguminous vegetables",1
8438.50.00,"Machinery for the preparation of meat or poultry, nesoi",1
8438.60.00,"Machinery for the preparation of fruits, nuts or vegetables, nesoi HTSUS Product Description Subheading",1
8438.80.00,"Machinery for the industrial preparation or manufacture of food or drink, nesoi",1
8438.90.90,"Parts of machinery for the industrial preparation or manufacture of food or drink, other than sugar manufacturing, nesoi",1
8439.10.00,Machinery for making pulp of fibrous cellulosic material,1
8439.20.00,Machinery for making paper or paperboard,1
8439.30.00,Machinery for finishing paper or paperboard,1
8439.91.10,"Bed plates, roll bars and other stock-treating parts of machinery for making pulp of fibrous cellulosic materials",1
8439.91.90,"Parts of machinery for making pulp of fibrous cellulosic materials, nesoi",1
8439.99.10,Parts of machinery for making paper or paperboard,1
8439.99.50,Parts of machinery for finishing paper or paperboard,1
8441.20.00,"Machines for making bags, sacks or envelopes of paper pulp, paper or paperboard",1
8441.30.00,"Machines for making cartons, boxes, cases, tubes, drums or similar containers, other than by molding, of paper pulp, paper or paperboard",1
8441.40.00,"Machines for molding articles in paper pulp, paper or paperboard",1
8441.80.00,"Machinery for making up paper pulp, paper or paperboard, nesoi",1
8441.90.00,"Parts for machinery used in making up paper pulp, paper or paperboard, including cutting machines",1
8442.30.01,"Machinery, apparatus and equipment of heading 8442",1
8442.40.00,"Parts of the machinery, apparatus or equipment of subheadings 8442.10, 8442.20 and 8442.30",1
8443.11.10,"Reel-fed offset printing machinery, double-width newspaper printing presses",1
8443.11.50,"Reel-fed offset printing machinery, other than double-width newspaper printing presses",1
8443.12.00,"Sheet-fed offset printing machinery, office type (sheet size not exceeding 22 X 36 cm)",1
8443.13.00,"Offset printing machinery, nesoi",1
8443.14.00,"Letterpress printing machinery, excluding flexographic printing, reel-fed",1
8443.17.00,Gravure printing machinery,1
8443.19.30,"Printing machinery, nesoi",1
8443.91.10,Machines for uses ancillary to printing,1
8443.99.20,Parts of printer units of subheading,1
8443.32.10,specified in additional U.S. note 2 to this chapter,1
8443.99.45,Parts and accessories of copying machines; nesoi,1
8444.00.00,"Machines for extruding, drawing, texturing or cutting man-made textile materials",1
8454.10.00,Converters of a kind used in metallurgy or in metal foundries,1
8454.30.00,"Casting machines, of a kind used in metallurgy or in metal foundries",1
8454.90.00,"Parts of converters, ladles, ingot molds and casting machines, of a kind used in metallurgy or in metal foundries",1
8455.10.00,Metal-rolling tube mills,1
8455.21.00,"Metal-rolling mills, other than tube mills, hot or combination hot and cold",1
8455.22.00,"Metal-rolling mills, other than tube mills, cold",1
8455.30.00,Rolls for metal-rolling mills,1
8455.90.80,"Parts for metal-rolling mills, other than rolls, nesoi HTSUS Product Description Subheading",1
8456.11.10,"Machine tools operated by laser, for working metal",1
8456.11.70,"Machine tools operated by laser, of a kind used solely or principally for manufacture of printed circuits",1
8456.11.90,"Machine tools operated by laser, nesoi",1
8456.12.10,"Machine tools operated by light or photon beam processes, for working metal",1
8456.12.70,"Machine tools operated by light or photon beam processes, of a kind used solely or principally for the manufacture of printed circuits",1
8456.12.90,"Machine tools operated by light or photon beam processes, nesoi",1
8456.20.10,"Machine tools operated by ultrasonic processes, for working metal",1
8456.20.50,"Machine tools operated by ultrasonic processes, other than for working metal",1
8456.30.10,"Machine tools operated by electro-discharge processes, for working metal",1
8456.30.50,"Machine tools operated by electro-discharge processes, other than for working metal",1
8456.40.10,"Machine tools operated by plasma arc process, for working metal",1
8456.40.90,"Machine tools operated by plasma arc process, other than for working metal",1
8456.50.00,Water-jet cutting machines,1
8456.90.31,"Machine tools operated by electro-chemical or ionic-beam processes, for working metal",1
8456.90.71,"Machine tools operated by electro-chemical or ionic-beam processes, other than for working metal",1
8457.10.00,Machining centers for working metal,1
8457.20.00,"Unit construction machines (single station), for working metal",1
8457.30.00,Multistation transfer machines for working metal,1
8458.11.00,"Horizontal lathes (including turning centers) for removing metal, numerically controlled",1
8458.19.00,"Horizontal lathes (including turning centers) for removing metal, other than numerically controlled",1
8458.91.10,"Vertical turret lathes (including turning centers) for removing metal, numerically controlled",1
8458.91.50,"Lathes (including turning centers), other than horizontal or vertical turret lathes, for removing metal, numerically controlled",1
8458.99.10,"Vertical turret lathes (including turning centers) for removing metal, other than numerically controlled",1
8458.99.50,"Lathes (including turning centers), other than horizontal or vertical turret lathes, for removing metal, other than numerically controlled",1
8459.10.00,"Way-type unit head machines for drilling, boring, milling, threading or tapping by removing metal, other than lathes of heading 8458",1
8459.21.00,"Drilling machines, numerically controlled, nesoi",1
8459.31.00,"Boring-milling machines, numerically controlled, nesoi",1
8459.39.00,"Boring-milling machines, other than numerically controlled, nesoi",1
8459.41.00,"Boring machines, numerically controlled, nesoi",1
8459.49.00,"Boring machines, not numerically controlled, nesoi",1
8459.51.00,"Milling machines, knee type, numerically controlled, nesoi",1
8459.61.00,"Milling machines, other than knee type, numerically controlled, nesoi HTSUS Product Description Subheading",1
8459.69.00,"Milling machines, other than knee type, other than numerically controlled, nesoi",1
8459.70.40,"Other threading or tapping machines, numerically controlled",1
8459.70.80,Other threading or tapping machines nesoi,1
8460.12.00,"Flat-surface grinding machines, numerically controlled",1
8460.19.01,"Flat-surface grinding machines, not numerically controlled",1
8460.22.00,"Centerless grinding machines, numerically controlled",1
8460.23.00,"Other cylindrical grinding machines, numerically controlled",1
8460.24.00,"Other grinding machines, numerically controlled",1
8460.29.01,"Other grinding machines, other than numerically controlled",1
8460.31.00,"Sharpening (tool or cutter grinding) machines for working metal or cermets, numerically controlled",1
8460.40.40,"Honing or lapping machines for working metal or cermets, numerically controlled",1
8460.40.80,"Honing or lapping machines for working metal or cermets, other than numerically controlled",1
8460.90.40,"Other machine tools for deburring, polishing or otherwise finishing metal or cermets, nesoi, numerically controlled",1
8460.90.80,"Other machine tools for deburring, polishing or otherwise finishing metal or cermets, nesoi, other than numerically controlled",1
8461.20.40,"Shaping or slotting machines for working by removing metal or cermets, numerically controlled",1
8461.20.80,"Shaping or slotting machines for working by removing metal or cermets, other than numerically controlled",1
8461.30.40,"Broaching machines for working by removing metal or cermets, numerically controlled",1
8461.30.80,"Broaching machines for working by removing metal or cermets, other than numerically controlled",1
8461.40.10,Gear cutting machines for working by removing metal or cermets,1
8461.40.50,Gear grinding or finishing machines for working by removing metal or cermets,1
8461.50.40,"Sawing or cutting-off machines for working by removing metal or cermets, numerically controlled",1
8461.90.30,"Machine-tools for working by removing metal or cermets, nesoi, numerically controlled",1
8461.90.60,"Machine-tools for working by removing metal or cermets, nesoi, other than numerically controlled",1
8462.10.00,Forging or die-stamping machines (including presses) and hammers,1
8462.21.00,"Bending, folding, straightening or flattening machines (including presses) numerically controlled for working metal or metal carbides",1
8462.29.00,"Bending, folding, straightening or flattening machines (including presses) not numerically controlled for working metal or metal carbides",1
8462.31.00,"Shearing machines (incl. presses), excl. combined punching & shearing machines, numerically controlled for working metal or metal carbides",1
8462.39.00,"Shearing machines (incl. presses), excl. combined punch & shearing machines, nt numerically controlled for working metal or metal carbides HTSUS Product Description Subheading",1
